0.15,0.015,13.122
0.15,0.037,20.722
0.15,0.058,16.558
0.15,0.078,8.3249
0.15,0.099,2.6354
0.15,0.119,0.75513
0.15,0.14,0.47113
0.15,0.16,0.41141
0.15,0.18,0.33124
0.15,0.2,0.28543
0.15,0.22,0.25375
0.15,0.24,0.188
0.15,0.26,0.14532
0.15,0.28,0.11221
0.15,0.3,0.078567
0.15,0.32,0.048255
0.16,0.015,11.574
0.16,0.037,18.317
0.16,0.058,14.561
0.16,0.078,7.29
0.16,0.099,2.3449
0.16,0.119,0.69024
0.16,0.14,0.45128
0.16,0.16,0.41047
0.16,0.18,0.34908
0.16,0.2,0.29816
0.16,0.22,0.26288
0.16,0.24,0.20305
0.16,0.26,0.16445
0.16,0.28,0.12503
0.16,0.3,0.092747
0.16,0.32,0.058377
0.16,0.34,0.034019
0.16,0.36,0.022544
0.16,0.38,0.012635
0.16,0.4,0.0077382
0.16,0.42,0.010697
0.16,0.44,0.0079745
0.17,0.015,10.21
0.17,0.037,16.076
0.17,0.058,12.751
0.17,0.078,6.3327
0.17,0.099,2.0659
0.17,0.119,0.63106
0.17,0.14,0.40641
0.17,0.16,0.37139
0.17,0.18,0.35486
0.17,0.2,0.32062
0.17,0.22,0.26907
0.17,0.24,0.21656
0.17,0.26,0.18526
0.17,0.28,0.14369
0.17,0.3,0.10268
0.17,0.32,0.070367
0.17,0.34,0.051038
0.17,0.36,0.023006
0.17,0.38,0.012119
0.17,0.4,0.019428
0.17,0.42,0.021344
0.17,0.44,0.015275
0.17,0.46,0.0095062
0.17,0.48,0.014201
0.17,0.5,0.003746
0.17,0.52,-4.5827E-4
0.18,0.015,9.005
0.18,0.037,14.243
0.18,0.058,11.325
0.18,0.078,5.5686
0.18,0.099,1.7927
0.18,0.119,0.56934
0.18,0.14,0.37474
0.18,0.16,0.34086
0.18,0.18,0.32536
0.18,0.2,0.30957
0.18,0.22,0.29097
0.18,0.24,0.25186
0.18,0.26,0.20816
0.18,0.28,0.16627
0.18,0.3,0.13397
0.18,0.32,0.097361
0.18,0.34,0.065381
0.18,0.36,0.037494
0.18,0.38,0.029881
0.18,0.4,0.029823
0.18,0.42,0.034054
0.18,0.44,0.020604
0.18,0.46,0.018499
0.18,0.48,0.016456
0.18,0.5,0.005084
0.18,0.52,-0.0040575
0.18,0.54,0.0044471
0.18,0.56,0.019019
0.18,0.58,-8.5612E-4
